surface	dialect	category	stress_index	phonemes	source	note
aiguille	*	irregular	-1	e|ɡ ɥ i j	manual	gu→/ɡɥ/ irregular
poêle	*	irregular	-1	p w a l	manual	oê→/wa/ irregular
moelle	*	irregular	-1	m w a l	manual	oe→/wa/ irregular
chorale	*	irregular	-1	k ɔ|ʁ a l	manual	ch→/k/ (Greek origin)
orchestre	*	irregular	-1	ɔ ʁ|k ɛ s|t ʁ ə	manual	ch→/k/ (Greek origin)
orchidée	*	irregular	-1	ɔ ʁ|k i|d e	manual	ch→/k/ (Greek origin)
écho	*	irregular	-1	e|k o	manual	ch→/k/ (Greek origin)
chaos	*	irregular	-1	k a|o s	manual	ch→/k/ (Greek origin)
chrétien	*	irregular	-1	k ʁ e|t j ɛ̃	manual	ch→/k/ (Greek origin)
psychologie	*	irregular	-1	p s i|k ɔ|l ɔ|ʒ i	manual	ch→/k/ + psy- prefix
archéologie	*	irregular	-1	a ʁ|k e|ɔ|l ɔ|ʒ i	manual	ch→/k/ (Greek origin)
technique	*	irregular	-1	t ɛ k|n i k	manual	ch→/k/ (Greek origin)
# ===== 同綴異音語 (homograph) =====
# --- est: 動詞 vs 方位 ---
est	*	homograph	-1	ɛ	manual	Verb être 3sg (default reading)
# --- os: 単数 vs 複数 ---
# os singular already covered in irregular
# --- fier: 動詞 vs 形容詞 ---
# fier adj already covered in academic
# --- plus: 肯定 vs 否定 ---
# plus already covered in academic
# --- couvent: 名詞 vs 動詞 ---
couvent	*	homograph	-1	k u|v ɑ̃	manual	Noun: monastery (verb 3pl would be /kuv/)
# --- fils: fil複数 vs 息子 ---
# fils already covered in irregular
# --- vis: 名詞 vs 動詞 ---
vis	*	homograph	-1	v i s	manual	Noun: screw
# --- portions: 名詞 vs 動詞 ---
portions	*	homograph	-1	p ɔ ʁ|s j ɔ̃	manual	Noun plural
# --- content: 形容詞 vs 動詞 ---
content	*	homograph	-1	k ɔ̃|t ɑ̃	manual	Adjective: happy
# --- président: 名詞 vs 動詞 ---
président	*	homograph	-1	p ʁ e|z i|d ɑ̃	manual	Noun: president
# --- résident: 名詞 vs 動詞 ---
résident	*	homograph	-1	ʁ e|z i|d ɑ̃	manual	Noun: resident
# --- violent: 形容詞 vs 動詞 ---
violent	*	homograph	-1	v j ɔ|l ɑ̃	manual	Adjective: violent
# --- patient: 名詞/形容詞 vs 動詞 ---
patient	*	homograph	-1	p a|s j ɑ̃	manual	Noun/adj: patient
# --- accident: 名詞 ---
accident	*	homograph	-1	a k|s i|d ɑ̃	manual	Noun: accident
# --- moment: 名詞 ---
moment	*	homograph	-1	m ɔ|m ɑ̃	manual	Noun: moment
# --- souvent: 副詞 ---
souvent	*	homograph	-1	s u|v ɑ̃	manual	Adverb: often
# --- comment: 副詞 ---
comment	*	homograph	-1	k ɔ|m ɑ̃	manual	Adverb: how
# --- autrement: 副詞 ---
autrement	*	homograph	-1	o|t ʁ ə|m ɑ̃	manual	Adverb: otherwise
# --- sentiment: 名詞 ---
sentiment	*	homograph	-1	s ɑ̃|t i|m ɑ̃	manual	Noun: feeling
# --- argument: 名詞 ---
argument	*	homograph	-1	a ʁ|ɡ y|m ɑ̃	manual	Noun: argument
# --- document: 名詞 ---
document	*	homograph	-1	d ɔ|k y|m ɑ̃	manual	Noun: document
# --- instrument: 名詞 ---
instrument	*	homograph	-1	ɛ̃ s|t ʁ y|m ɑ̃	manual	Noun: instrument
# --- appartement: 名詞 ---
appartement	*	homograph	-1	a|p a ʁ|t ə|m ɑ̃	manual	Noun: apartment
# --- gouvernement: 名詞 ---
gouvernement	*	homograph	-1	ɡ u|v ɛ ʁ|n ə|m ɑ̃	manual	Noun: government
# --- également: 副詞 ---
également	*	homograph	-1	e|ɡ a l|m ɑ̃	manual	Adverb: equally
# --- certainement: 副詞 ---
certainement	*	homograph	-1	s ɛ ʁ|t ɛ n|m ɑ̃	manual	Adverb: certainly
# --- justement: 副詞 ---
justement	*	homograph	-1	ʒ y s|t ə|m ɑ̃	manual	Adverb: exactly
# --- -ment 名詞/副詞 (homograph with verb_3pl -ent) ---
logement	*	homograph	-1	l ɔ|ʒ ə|m ɑ̃	manual	Noun: housing
changement	*	homograph	-1	ʃ ɑ̃ ʒ|m ɑ̃	manual	Noun: change
mouvement	*	homograph	-1	m u v|m ɑ̃	manual	Noun: movement
traitement	*	homograph	-1	t ʁ ɛ t|m ɑ̃	manual	Noun: treatment
bâtiment	*	homograph	-1	b a|t i|m ɑ̃	manual	Noun: building
événement	*	homograph	-1	e|v ɛ n|m ɑ̃	manual	Noun: event
environnement	*	homograph	-1	ɑ̃|v i|ʁ ɔ n|m ɑ̃	manual	Noun: environment
comportement	*	homograph	-1	k ɔ̃|p ɔ ʁ|t ə|m ɑ̃	manual	Noun: behavior
développement	*	homograph	-1	d e|v l ɔ p|m ɑ̃	manual	Noun: development
enseignement	*	homograph	-1	ɑ̃|s ɛ ɲ|m ɑ̃	manual	Noun: teaching
fonctionnement	*	homograph	-1	f ɔ̃ k|s j ɔ n|m ɑ̃	manual	Noun: functioning
renseignement	*	homograph	-1	ʁ ɑ̃|s ɛ ɲ|m ɑ̃	manual	Noun: information
investissement	*	homograph	-1	ɛ̃|v ɛ s|t i s|m ɑ̃	manual	Noun: investment
# ===== 追加外来語 (loanword) =====
byte	*	loanword	-1	b a j t	manual	English IT loanword
pixel	*	loanword	-1	p i k|s ɛ l	manual	English IT loanword
wifi	*	loanword	-1	w i|f i	manual	English IT loanword
smartphone	*	loanword	-1	s m a ʁ t|f o n	manual	English loanword
software	*	loanword	-1	s ɔ f t|w ɛ ʁ	manual	English IT loanword
hardware	*	loanword	-1	a ʁ d|w ɛ ʁ	manual	English IT loanword
startup	*	loanword	-1	s t a ʁ|t œ p	manual	English loanword
workshop	*	loanword	-1	w ɔ ʁ k|ʃ ɔ p	manual	English loanword
feedback	*	loanword	-1	f i d|b a k	manual	English loanword
laptop	*	loanword	-1	l a p|t ɔ p	manual	English loanword
podcast	*	loanword	-1	p ɔ d|k a s t	manual	English loanword
hashtag	*	loanword	-1	a ʃ|t a ɡ	manual	English loanword
vintage	*	loanword	-1	v ɛ̃|t a ʒ	manual	English loanword
badge	*	loanword	-1	b a d ʒ	manual	English loanword
dressing	*	loanword	-1	d ʁ ɛ|s i ŋ	manual	English loanword
pressing	*	loanword	-1	p ʁ ɛ|s i ŋ	manual	English loanword
footing	*	loanword	-1	f u|t i ŋ	manual	English loanword (jogging in French usage)
listing	*	loanword	-1	l i s|t i ŋ	manual	English loanword
planning	*	loanword	-1	p l a|n i ŋ	manual	English loanword
briefing	*	loanword	-1	b ʁ i|f i ŋ	manual	English loanword
catering	*	loanword	-1	k a|t ə|ʁ i ŋ	manual	English loanword
tuning	*	loanword	-1	t y|n i ŋ	manual	English loanword
piercing	*	loanword	-1	p i ʁ|s i ŋ	manual	English loanword
lifting	*	loanword	-1	l i f|t i ŋ	manual	English loanword
rafting	*	loanword	-1	ʁ a f|t i ŋ	manual	English loanword
karting	*	loanword	-1	k a ʁ|t i ŋ	manual	English loanword
kitesurfing	*	loanword	-1	k a j t|s œ ʁ|f i ŋ	manual	English loanword
# --- アラビア語由来 ---
algèbre	*	loanword	-1	a l|ʒ ɛ b ʁ	manual	Arabic loanword (al-jabr)
algorithme	*	loanword	-1	a l|ɡ ɔ|ʁ i t m	manual	Arabic loanword
alcool	*	loanword	-1	a l|k ɔ l	manual	Arabic loanword (al-kuhl)
couscous	*	loanword	-1	k u s|k u s	manual	Arabic loanword
taboulé	*	loanword	-1	t a|b u|l e	manual	Arabic loanword
houmous	*	loanword	-1	u|m u s	manual	Arabic loanword
falafel	*	loanword	-1	f a|l a|f ɛ l	manual	Arabic loanword
# --- ポルトガル語由来 ---
samba	*	loanword	-1	s ɑ̃|b a	manual	Portuguese loanword
bossa-nova	*	loanword	-1	b ɔ|s a|n ɔ|v a	manual	Portuguese loanword
# ===== 追加不規則語 (irregular) =====
aiguiser	*	irregular	-1	e|ɡ i|z e	manual	gu→/ɡ/ (not /ɡɥ/)
aiguillon	*	irregular	-1	e|ɡ i|j ɔ̃	manual	gu→/ɡ/ irregular
aiguillage	*	irregular	-1	e|ɡ i|j a ʒ	manual	gu→/ɡ/ irregular
poignée	*	irregular	-1	p w a|ɲ e	manual	oi→/wa/ + gn→/ɲ/ irregular
poignet	*	irregular	-1	p w a|ɲ ɛ	manual	oi→/wa/ + gn→/ɲ/ irregular
oignons	*	irregular	-1	ɔ|ɲ ɔ̃	manual	Plural, same as singular
faisan	*	irregular	-1	f ə|z ɑ̃	manual	ai→/ə/ irregular
faisait	*	irregular	-1	f ə|z ɛ	manual	ai→/ə/ in faire conjugations
faisons	*	irregular	-1	f ə|z ɔ̃	manual	ai→/ə/ in faire conjugations
faisant	*	irregular	-1	f ə|z ɑ̃	manual	ai→/ə/ in faire conjugations
monnaie	*	irregular	-1	m ɔ|n ɛ	manual	ai→/ɛ/ (not /aj/)
# ===== 追加学術語 (academic) =====
index	*	academic	-1	ɛ̃|d ɛ k s	manual	Final -x pronounced /ks/
latex	*	academic	-1	l a|t ɛ k s	manual	Final -x pronounced /ks/
apex	*	academic	-1	a|p ɛ k s	manual	Final -x pronounced /ks/
silex	*	academic	-1	s i|l ɛ k s	manual	Final -x pronounced /ks/
sphinx	*	academic	-1	s f ɛ̃ k s	manual	Greek, final -x pronounced
lynx	*	academic	-1	l ɛ̃ k s	manual	Final -x pronounced
onyx	*	academic	-1	ɔ|n i k s	manual	Greek, final -x pronounced
phoenix	*	academic	-1	f e|n i k s	manual	Greek, final -x pronounced
thorax	*	academic	-1	t ɔ|ʁ a k s	manual	Greek, final -x pronounced
larynx	*	academic	-1	l a|ʁ ɛ̃ k s	manual	Greek, final -x pronounced
pharynx	*	academic	-1	f a|ʁ ɛ̃ k s	manual	Greek, final -x pronounced
borax	*	academic	-1	b ɔ|ʁ a k s	manual	Latin/Arabic, final -x pronounced
# --- 語末 -s 発音 ---
ours	*	academic	-1	u ʁ s	manual	Final -s pronounced
mars	*	academic	-1	m a ʁ s	manual	Final -s pronounced
as	*	academic	-1	a s	manual	Final -s pronounced
atlas	*	academic	-1	a t|l a s	manual	Final -s pronounced
cosmos	*	academic	-1	k ɔ s|m ɔ s	manual	Final -s pronounced
albatros	*	academic	-1	a l|b a|t ʁ ɔ s	manual	Final -s pronounced
hélas	*	academic	-1	e|l a s	manual	Final -s pronounced
ananas	*	academic	-1	a|n a|n a s	manual	Final -s pronounced
rhinocéros	*	academic	-1	ʁ i|n ɔ|s e|ʁ ɔ s	manual	Final -s pronounced
# ===== 追加動詞3人称複数 (verb_3pl) =====
tombent	*	verb_3pl	-1	t ɔ̃ b	manual	3pl, -ent silent
passent	*	verb_3pl	-1	p a s	manual	3pl, -ent silent
restent	*	verb_3pl	-1	ʁ ɛ s t	manual	3pl, -ent silent
portent	*	verb_3pl	-1	p ɔ ʁ t	manual	3pl, -ent silent
montrent	*	verb_3pl	-1	m ɔ̃ t ʁ	manual	3pl, -ent silent
entrent	*	verb_3pl	-1	ɑ̃ t ʁ	manual	3pl, -ent silent
changent	*	verb_3pl	-1	ʃ ɑ̃ ʒ	manual	3pl, -ent silent
appellent	*	verb_3pl	-1	a|p ɛ l	manual	3pl, -ent silent
rappellent	*	verb_3pl	-1	ʁ a|p ɛ l	manual	3pl, -ent silent
jettent	*	verb_3pl	-1	ʒ ɛ t	manual	3pl, -ent silent
achètent	*	verb_3pl	-1	a|ʃ ɛ t	manual	3pl, -ent silent
