# surface	dialect	category	accent	stress_index	phonemes	source	note
# POLICY: 重子音(geminate)は単一子音表記。スウェーデン語の重子音は先行短母音で表現される（例: gnugga = n ɵ|ɡ a）。
# ===== 機能語 (function_word) =====
gatukök	*	compound	2	0	ɡ ɑː|t ʉː|ɕ øː k	manual	複合語（k→tj音 + 軟母音）
julklapp	*	compound	2	0	j ʉː l|k l a p	manual	複合語
köttbullar	*	compound	2	0	ɕ œ t|b ɵ|l a r	manual	複合語（k→tj音）
livsmedel	*	compound	2	0	l iː v s|m eː|d ɛ l	manual	複合語
morgontidning	*	compound	2	0	m ɔ r|ɡ ɔ n|t iː d|n ɪ ŋ	manual	複合語
osthyvel	*	compound	2	0	ɔ s t|h yː|v ɛ l	manual	複合語
potatismos	*	compound	2	0	p ɔ|t ɑː|t ɪ s|m uː s	manual	複合語
regnkappa	*	compound	2	0	r ɛ ŋ n|k a|p a	manual	複合語
skrivbord	*	compound	2	0	s k r iː v|b uː r d	manual	複合語
snöstorm	*	compound	2	0	s n øː|s t ɔ r m	manual	複合語
trädgård	*	compound	2	0	t r ɛː d|ɡ ɔː r d	manual	複合語
vattenkraft	*	compound	2	0	v a|t ɛ n|k r a f t	manual	複合語
årstid	*	compound	2	0	ɔː ʂ|t iː d	manual	複合語（rs→そり舌化）
årstid	finland	compound	2	0	ɔː r s|t iː d	manual	複合語（フィンランド：そり舌なし）
brevlåda	*	compound	2	0	b r eː v|l ɔː|d a	manual	複合語
cykelbana	*	compound	2	0	s yː|k ɛ l|b ɑː|n a	manual	複合語
daghem	*	compound	2	0	d ɑː ɡ|h ɛ m	manual	複合語
farmor	*	compound	2	0	f ɑː r|m uː r	manual	複合語
glasögon	*	compound	2	0	ɡ l ɑː s|øː|ɡ ɔ n	manual	複合語
jordgubbe	*	compound	2	0	j uː r d|ɡ ɵ|b ɛ	manual	複合語
kattunge	*	compound	2	0	k a t|ɵ ŋ|ɛ	manual	複合語
ljusstake	*	compound	2	0	j ʉː s|s t ɑː|k ɛ	manual	複合語（lj-でlは黙字）
mellanmål	*	compound	2	0	m ɛ|l a n|m ɔː l	manual	複合語
nattklubb	*	compound	2	0	n a t|k l ɵ b	manual	複合語
ölflaska	*	compound	2	0	øː l|f l a|s k a	manual	複合語
telefonnummer	*	compound	2	0	t ɛ|l ɛ|f oː n|n ɵ|m ɛ r	manual	複合語
isbrytare	*	compound	2	0	iː s|b r yː|t a|r ɛ	manual	複合語
övervikt	*	compound	2	0	øː|v ɛ r|v ɪ k t	manual	複合語
inomhus	*	compound	2	0	ɪ|n ɔ m|h ʉː s	manual	複合語
# ===== 追加英語由来外来語 (loanword_en) =====
website	*	loanword_en	2	0	v ɛ b|s a j t	manual	英語由来
management	*	loanword_en	2	0	m a|n ɛ d ɕ|m ɛ n t	manual	英語由来
e-mail	*	loanword_en	2	0	iː|m ɛ j l	manual	英語由来
coach	*	loanword_en	1	0	k ɔː t ɧ	manual	英語由来
software	*	loanword_en	2	0	s ɔ f t|v ɛː r	manual	英語由来
hardware	*	loanword_en	2	0	h ɑː r d|v ɛː r	manual	英語由来
deadline	*	loanword_en	2	0	d ɛ d|l a j n	manual	英語由来
feedback	*	loanword_en	2	0	f iː d|b a k	manual	英語由来
marketing	*	loanword_en	2	0	m ɑː r|k ɛ|t ɪ ŋ	manual	英語由来
online	*	loanword_en	2	0	ɔ n|l a j n	manual	英語由来
trailer	*	loanword_en	2	0	t r ɛ j|l ɛ r	manual	英語由来
streamer	*	loanword_en	2	0	s t r iː|m ɛ r	manual	英語由来
influencer	*	loanword_en	2	0	ɪ n|f l ʉː|ɛ n|s ɛ r	manual	英語由来
blogger	*	loanword_en	2	0	b l ɔ|ɡ ɛ r	manual	英語由来
startup	*	loanword_en	2	0	s t ɑː ʈ|ɵ p	manual	英語由来（そり舌化）
startup	finland	loanword_en	2	0	s t ɑː r t|ɵ p	manual	英語由来（フィンランド：そり舌なし）
backup	*	loanword_en	2	0	b a k|ɵ p	manual	英語由来
update	*	loanword_en	2	0	ɵ p|d ɛ j t	manual	英語由来
download	*	loanword_en	2	0	d ɑː n|l oː d	manual	英語由来
# ===== 追加フランス語由来外来語 (loanword_fr) =====
restaurant	*	loanword_fr	2	2	r ɛ s|t ɑː|r a ŋ	manual	仏語由来（restaurangと同義）
plafond	*	loanword_fr	2	1	p l a|f ɔ n d	manual	仏語由来
regissör	*	loanword_fr	2	1	r ɛ|ɧ ɪ|s øː r	manual	仏語由来
kostym	*	loanword_fr	2	1	k ɔ s|t yː m	manual	仏語由来
reklam	*	loanword_fr	2	1	r ɛ|k l ɑː m	manual	仏語由来
gardin	*	loanword_fr	2	1	ɡ a r|d iː n	manual	仏語由来
nivå	*	loanword_fr	2	1	n ɪ|v ɔː	manual	仏語由来
soffa	*	loanword_fr	2	0	s ɔ|f a	manual	仏語由来
kaffe	*	loanword_fr	2	0	k a|f ɛ	manual	仏語由来
kafé	*	loanword_fr	2	1	k a|f eː	manual	仏語由来
paraply	*	loanword_fr	2	2	p a|r a|p l yː	manual	仏語由来
# ===== 追加地名 (place_name) =====
Norrbotten	finland	place_name	2	0	n ɔ r|b ɔ|t ɛ n	manual	北部地方（フィンランド方言同形）
Skellefteå	*	place_name	2	2	ɧ ɛ|l ɛ f|t ɛ|ɔː	manual	北部都市（sk+軟母音→sj音）
Lidköping	*	place_name	2	0	l iː d|ɕ øː|p ɪ ŋ	manual	西部都市（k→tj音）
Nyköping	*	place_name	2	0	n yː|ɕ øː|p ɪ ŋ	manual	東部都市（k→tj音）
Enköping	*	place_name	2	0	ɛ ŋ|ɕ øː|p ɪ ŋ	manual	中部都市（k→tj音）
Borlänge	*	place_name	2	1	b uː|l ɛ ŋ|ɛ	manual	ダーラナ都市
Landskrona	*	place_name	2	0	l a n d s|k r uː|n a	manual	南部都市
Varberg	*	place_name	2	0	v ɑː r|b ɛ r j	manual	西海岸都市（語末g→j）
Motala	*	place_name	2	0	m uː|t ɑː|l a	manual	東部都市
Piteå	*	place_name	2	0	p iː|t ɛ|ɔː	manual	北部都市
Norrland	*	place_name	2	0	n ɔ r|l a n d	manual	北部地方
Småland	*	place_name	2	0	s m ɔː|l a n d	manual	南部地方
Värmland	*	place_name	2	0	v ɛ r m|l a n d	manual	西部地方
Blekinge	*	place_name	2	0	b l eː|k ɪ ŋ|ɛ	manual	南東地方
Halland	*	place_name	2	0	h a|l a n d	manual	西海岸地方
# ===== 人名 (person_name) =====
Kjell	*	person_name	1	0	ɕ ɛ l	manual	男性名（kj→tj音）
Björk	*	person_name	1	0	b j œ r k	manual	姓（白樺の意）
Hjördis	*	person_name	2	0	j øː|d ɪ s	manual	女性名（hj-でhは黙字、rは脱落）
Stig	*	person_name	1	0	s t iː ɡ	manual	男性名
Ingvar	*	person_name	2	0	ɪ ŋ|v ɑː r	manual	男性名
Sigrid	*	person_name	2	0	s iː ɡ|r ɪ d	manual	女性名
Torbjörn	*	person_name	2	0	t uː r|b j œ r n	manual	男性名
Gunilla	*	person_name	2	0	ɡ ʉː|n ɪ|l a	manual	女性名
Ulf	*	person_name	1	0	ɵ l f	manual	男性名
Åsa	*	person_name	2	0	ɔː|s a	manual	女性名
Göran	*	person_name	2	0	j øː|r a n	manual	男性名（g軟音化）
Lena	*	person_name	2	0	l eː|n a	manual	女性名
Astrid	*	person_name	2	0	a s|t r ɪ d	manual	女性名
Nils	*	person_name	1	0	n ɪ l s	manual	男性名
Per	*	person_name	1	0	p ɛː r	manual	男性名
Lars	*	person_name	1	0	l a ʂ	manual	男性名（rs→そり舌化）
Lars	finland	person_name	1	0	l a r s	manual	男性名（フィンランド：そり舌なし）
Erik	*	person_name	2	0	eː|r ɪ k	manual	男性名
Karin	*	person_name	2	0	k ɑː|r ɪ n	manual	女性名
Anna	*	person_name	2	0	a|n a	manual	女性名
Gustaf	*	person_name	2	0	ɡ ɵ s|t ɑː v	manual	男性名
Elsa	*	person_name	2	0	ɛ l|s a	manual	女性名
Sven	*	person_name	1	0	s v ɛ n	manual	男性名
# ===== 最小ペア (minimal_pair) =====
anden	*	minimal_pair	2	0	a n|d ɛ n	manual	定形：アヒル（accent 1）/精霊（accent 2）ここでは共通形
tomten	*	minimal_pair	2	0	t ɔ m|t ɛ n	manual	定形：敷地/サンタ（アクセント差）
buren	*	minimal_pair	2	0	b ʉː|r ɛ n	manual	檻（定形）/運ばれた（分詞）
stegen	*	minimal_pair	2	0	s t eː|ɡ ɛ n	manual	はしご（定形）/歩み（定形）
slottet	*	minimal_pair	2	0	s l ɔ|t ɛ t	manual	城（定形）
tanken	*	minimal_pair	2	0	t a ŋ|k ɛ n	manual	考え（定形）/タンク（定形）
planet	*	minimal_pair	2	0	p l ɑː|n ɛ t	manual	計画（定形）/飛行機（定形）
viken	*	minimal_pair	2	0	v iː|k ɛ n	manual	入江（定形）
laget	*	minimal_pair	2	0	l ɑː|ɡ ɛ t	manual	チーム（定形）
stranden	*	minimal_pair	2	0	s t r a n|d ɛ n	manual	浜辺（定形）
bryggan	*	minimal_pair	2	0	b r ʏ|ɡ a n	manual	桟橋（定形）
eken	*	minimal_pair	2	0	eː|k ɛ n	manual	樫の木（定形）
# ===== 追加不規則語 (irregular) =====
varför	*	irregular	2	0	v a r|f øː r	manual	なぜ
vänlig	*	irregular	2	0	v ɛ n|l ɪ	manual	親切な、語末-ig→/ɪ/
hemlig	*	irregular	2	0	h ɛ m|l ɪ	manual	秘密の、語末-ig→/ɪ/
tydlig	*	irregular	2	0	t yː d|l ɪ	manual	明確な、語末-ig→/ɪ/
plötslig	*	irregular	2	0	p l œ t s|l ɪ	manual	突然の、語末-ig→/ɪ/
fruktansvärd	*	irregular	2	0	f r ɵ k|t a n s|v ɛː r d	manual	恐ろしい
emellan	*	irregular	2	1	ɛ|m ɛ|l a n	manual	〜の間
villkor	*	irregular	2	0	v ɪ l|k oː r	manual	条件
åtminstone	*	irregular	2	0	ɔː t|m ɪ n|s t ɔ|n ɛ	manual	少なくとも
framför	*	irregular	2	0	f r a m|f øː r	manual	〜の前に
genast	*	irregular	2	0	j eː|n a s t	manual	すぐに
nämligen	*	irregular	2	0	n ɛ m|l ɪ|ɡ ɛ n	manual	すなわち
knappast	*	irregular	2	0	k n a|p a s t	manual	ほとんど〜ない
dessutom	*	irregular	2	2	d ɛ|s ʉː|t ɔ m	manual	さらに
antagligen	*	irregular	2	1	a n|t ɑː|l ɪ|ɡ ɛ n	manual	おそらく
tyvärr	*	irregular	2	1	t yː|v ɛ r	manual	残念ながら
emellertid	*	irregular	2	2	ɛ|m ɛ|l ɛ r|t iː d	manual	しかしながら
samhälle	*	irregular	2	0	s a m|h ɛ|l ɛ	manual	社会
område	*	irregular	2	0	ɔ m|r ɔː|d ɛ	manual	地域
kunskap	*	irregular	2	0	k ɵ n|s k ɑː p	manual	知識
vetenskap	*	irregular	2	0	v eː|t ɛ n|s k ɑː p	manual	科学
erfarenhet	*	irregular	2	1	ɛ r|f ɑː|r ɛ n|h eː t	manual	経験
sysselsättning	*	irregular	2	0	s ʏ|s ɛ l|s ɛ t|n ɪ ŋ	manual	雇用
tjänsteman	*	irregular	2	0	ɕ ɛ n s|t ɛ|m a n	manual	公務員（tj→ɕ）
rättighet	*	irregular	2	0	r ɛ|t ɪ|h eː t	manual	権利
möjlighet	*	irregular	2	0	m øː j|l ɪ|h eː t	manual	可能性
skyldighet	*	irregular	2	0	ɧ ʏ l|d ɪ|h eː t	manual	義務（sk+y→sj音）
sjuksköterska	*	compound	2	0	ɧ ʉː k|ɧ øː|t ɛ ʂ|k a	manual	看護師（sj音 + sk+軟母音→sj音 + rs→そり舌化）
sjuksköterska	finland	compound	2	0	ɧ ʉː k|ɧ øː|t ɛ r s|k a	manual	看護師（フィンランド：そり舌なし）
förskola	*	compound	2	0	f øː r|s k uː|l a	manual	幼稚園
grundskola	*	compound	2	0	ɡ r ɵ n d|s k uː|l a	manual	基礎学校
högskola	*	compound	2	0	h øː ɡ|s k uː|l a	manual	大学
barnmorska	*	compound	2	0	b ɑː ɳ|m ɔ ʂ|k a	manual	助産師（rn→ɳ、rs→ʂ）
barnmorska	finland	compound	2	0	b ɑː r n|m ɔ r s|k a	manual	助産師（フィンランド：そり舌なし）
# ===== 追加sj音例外 (sj_exception) =====
komplikation	*	sj_exception	2	3	k ɔ m|p l ɪ|k a|ɧ uː n	manual	-tion→sj音
ventilation	*	sj_exception	2	3	v ɛ n|t ɪ|l a|ɧ uː n	manual	-tion→sj音
provokation	*	sj_exception	2	3	p r ɔ|v ɔ|k a|ɧ uː n	manual	-tion→sj音
koncentration	*	sj_exception	2	3	k ɔ n|s ɛ n|t r a|ɧ uː n	manual	-tion→sj音
administration	*	sj_exception	2	4	a d|m ɪ|n ɪ s|t r a|ɧ uː n	manual	-tion→sj音
registration	*	sj_exception	2	4	r ɛ|j ɪ s|t r a|ɧ uː n	manual	-tion→sj音（g軟音化）
kommission	*	sj_exception	2	2	k ɔ|m ɪ|ɧ uː n	manual	-ssion→sj音
depression	*	sj_exception	2	2	d ɛ|p r ɛ|ɧ uː n	manual	-ssion→sj音
impression	*	sj_exception	2	2	ɪ m|p r ɛ|ɧ uː n	manual	-ssion→sj音
procession	*	sj_exception	2	2	p r ɔ|s ɛ|ɧ uː n	manual	-ssion→sj音
profession	*	sj_exception	2	2	p r ɔ|f ɛ|ɧ uː n	manual	-ssion→sj音
session	*	sj_exception	2	1	s ɛ|ɧ uː n	manual	-ssion→sj音
ambition	*	sj_exception	2	2	a m|b ɪ|ɧ uː n	manual	-tion→sj音
definition	*	sj_exception	2	3	d ɛ|f ɪ|n ɪ|ɧ uː n	manual	-tion→sj音
koalition	*	sj_exception	2	3	k ɔ|a|l ɪ|ɧ uː n	manual	-tion→sj音
petition	*	sj_exception	2	2	p ɛ|t ɪ|ɧ uː n	manual	-tion→sj音
donation	*	sj_exception	2	2	d ɔ|n a|ɧ uː n	manual	-tion→sj音
rotation	*	sj_exception	2	2	r ɔ|t a|ɧ uː n	manual	-tion→sj音
sensation	*	sj_exception	2	2	s ɛ n|s a|ɧ uː n	manual	-tion→sj音
# ===== ipa-dict評価コーパス頻出誤り語 (corpus_fix) =====
garage	central	corpus_fix	2	1	ɡ a|r ɑː ɧ	manual	仏語由来（中央方言固有: ge→sj音）
chauvinism	*	corpus_fix	2	2	ɧ oː|v ɪ|n ɪ s m	manual	ch→sj音
succé	*	corpus_fix	2	1	s ɵ k|s eː	manual	仏語由来
sorbet	*	corpus_fix	2	1	s ɔ r|b eː	manual	仏語由来
bidé	*	corpus_fix	2	1	b ɪ|d eː	manual	仏語由来
motell	*	corpus_fix	2	1	m ɔ|t ɛ l	manual	英語motel由来
brutalt	*	corpus_fix	2	1	b r ʉː|t ɑː l t	manual	brutal+接尾辞t
diagonal	*	corpus_fix	2	3	d ɪ|a|ɡ ɔ|n ɑː l	manual	ラテン語由来
diplomat	*	corpus_fix	2	2	d ɪ p|l ɔ|m ɑː t	manual	ラテン語由来
speciell	*	corpus_fix	2	2	s p ɛ|s ɪ|ɛ l	manual	ラテン語由来
manuell	*	corpus_fix	2	2	m a|n ʉː|ɛ l	manual	ラテン語由来
federal	*	corpus_fix	2	2	f ɛ|d ɛ|r ɑː l	manual	ラテン語由来
mineral	*	corpus_fix	2	2	m ɪ|n ɛ|r ɑː l	manual	ラテン語由来
kollektiv	*	corpus_fix	2	2	k ɔ|l ɛ k|t iː v	manual	ラテン語由来
initial	*	corpus_fix	2	3	ɪ|n ɪ|t s ɪ|ɑː l	manual	ラテン語由来
examen	*	corpus_fix	2	1	ɛ k|s ɑː|m ɛ n	manual	ラテン語由来
tabell	*	corpus_fix	2	1	t a|b ɛ l	manual	ラテン語由来
kupol	*	corpus_fix	2	1	k ʉː|p oː l	manual	ラテン語由来
satirist	*	corpus_fix	2	2	s a|t iː|r ɪ s t	manual	ラテン語由来
proportionerlig	*	corpus_fix	2	3	p r ɔ|p ɔ ʈ|ɧ ʊ|n eː r|l ɪ ɡ	manual	-tion→sj音（語末-ig→ɪɡ: 形容詞接尾辞-lig）
arkeologi	*	corpus_fix	2	3	a r|k ɛ|ɔ|l ɔ|ɡ iː	manual	ギリシャ語由来（ke→k硬音維持）
biologi	*	corpus_fix	2	3	b iː|ɔ|l ɔ|ɡ iː	manual	ギリシャ語由来
kennel	*	corpus_fix	2	0	k ɛ|n ɛ l	manual	英語由来（k硬音維持+軟母音前）
orakel	*	corpus_fix	2	1	ʊ|r ɑː|k ɛ l	manual	ラテン語由来（k硬音維持）
potpurri	*	corpus_fix	2	2	p ɔ t|p ɵ|r iː	manual	フランス語由来
legitimerad	*	corpus_fix	2	2	l ɛ|ɡ ɪ|t ɪ|m eː|r a d	manual	ラテン語由来（語頭le-は短母音）
konkurrera	*	corpus_fix	2	2	k ɔ ŋ|k ɵ|r eː|r a	manual	ラテン語由来（nk→ŋk）
automat	*	corpus_fix	2	2	a ʊ|t ɔ|m ɑː t	manual	ギリシャ語由来
humoristisk	*	corpus_fix	2	1	h ɵ|m ɔ|r ɪ s|t ɪ s k	manual	ラテン語由来
projekt	*	corpus_fix	2	1	p r ɔ|ɧ ɛ k t	manual	ラテン語由来（j→sj音）
preferens	*	corpus_fix	2	2	p r ɛ|f ɛ|r a ŋ s	manual	ラテン語由来
reumatism	*	corpus_fix	2	2	r ɛ v|m a|t ɪ s m	manual	ギリシャ語由来（eu→ɛv）
skeptisk	*	corpus_fix	2	0	s k ɛ p|t ɪ s k	manual	ギリシャ語由来（sk硬音維持）
teoretisk	*	corpus_fix	2	1	t ɛ|ɔ|r eː|t ɪ s k	manual	ギリシャ語由来
zucchini	*	corpus_fix	2	1	s ʊ|k iː|n ɪ	manual	イタリア語由来（z→s、cch→k、語末i→ɪ）
bojkottar	*	corpus_fix	2	0	b ɔ j|k ɔ t|a r	manual	動詞現在形
trakasserar	*	corpus_fix	2	2	t r a|k a|s eː|r a r	manual	仏語由来
bedrägeri	*	corpus_fix	2	2	b ɛ|d r ɛː|ɡ ɛ|r iː	manual	不規則（ä→ɛː、語末-i→iː）
befolkning	*	corpus_fix	2	1	b ɛ|f ɔ l k|n ɪ ŋ	manual	複合語系
beläggning	*	corpus_fix	2	1	b ɛ|l ɛ ɡ|n ɪ ŋ	manual	動詞派生名詞
