surface	dialect	category	stress_index	phonemes	notes
homem	*	foreign	0	ɔ|m ɐ̃ j̃	h mudo
# ===== ch = /k/ (Greek origin) =====
crónica	*	foreign	0	k ɾ ɔ|n i|k ɐ	regular (no ch)
psicologia	*	foreign	1	p s i|k u|l u|ʒ i|ɐ	psy- prefix
# ===== 追加の開閉母音不規則 =====
escola	*	open_close_vowel	1	ɨ s|k ɔ|l ɐ	escola, /ɔ/ aberto
história	*	open_close_vowel	1	i s|t ɔ|ɾ j ɐ	historia, /ɔ/ aberto
memória	*	open_close_vowel	1	m ɨ|m ɔ|ɾ j ɐ	memoria, /ɔ/ aberto
vitória	*	open_close_vowel	1	v i|t ɔ|ɾ j ɐ	vitoria, /ɔ/ aberto
glória	*	open_close_vowel	0	ɡ l ɔ|ɾ j ɐ	gloria, /ɔ/ aberto
famoso	*	open_close_vowel	1	f ɐ|m o|z u	famoso, /o/ fechado
tesouro	*	open_close_vowel	1	t ɨ|z o w|ɾ u	tesouro, /o/ fechado
touro	*	open_close_vowel	0	t o w|ɾ u	touro, /o/ fechado
ouro	*	open_close_vowel	0	o w|ɾ u	ouro, /o/ fechado
couro	*	open_close_vowel	0	k o w|ɾ u	couro, /o/ fechado
louro	*	open_close_vowel	0	l o w|ɾ u	louro, /o/ fechado
pouco	*	open_close_vowel	0	p o w|k u	pouco, /o/ fechado
# ===== 追加外来語 =====
check-in	*	foreign	-1	ʃ ɛ|k ĩ	English loanword
check-out	*	foreign	-1	ʃ ɛ|k a w t	English loanword
outdoor	*	foreign	-1	a w t|d ɔ ɾ	English loanword
indoor	*	foreign	-1	ĩ|d ɔ ɾ	English loanword
best-seller	*	foreign	-1	b ɛ s t|s ɛ|l ɨ ɾ	English loanword
stand-up	*	foreign	-1	s t ɐ̃|d ɐ p	English loanword
workshop	*	foreign	-1	w ɔ ɾ k|ʃ ɔ p	English loanword
download	*	foreign	-1	d a w n|l o d	English loanword
upload	*	foreign	-1	ɐ p|l o d	English loanword
streaming	*	foreign	-1	s t ɾ i|m ĩ	English loanword
bullying	*	foreign	-1	b u|l ĩ	English loanword
freezer	*	foreign	-1	f ɾ i|z ɨ ɾ	English loanword
scanner	*	foreign	-1	s k ɛ|n ɨ ɾ	English loanword
blazer	*	foreign	-1	b l e j|z ɨ ɾ	English loanword
container	*	foreign	-1	k õ|t e j|n ɨ ɾ	English loanword
trailer	*	foreign	-1	t ɾ e j|l ɨ ɾ	English loanword
thriller	*	foreign	-1	t ɾ i|l ɨ ɾ	English loanword
fashion	*	foreign	-1	f ɛ|ʃ õ	English loanword
vintage	*	foreign	-1	v ĩ|t a ʒ	English/French loanword
cowboy	*	foreign	-1	k a w|b ɔ j	English loanword
gangster	*	foreign	-1	ɡ ɐ̃ ɡ s|t ɨ ɾ	English loanword
blitz	*	foreign	-1	b l i t s	German loanword
strudel	*	foreign	-1	s t ɾ u|d ɛ l	German loanword
mozzarella	*	foreign	-1	m u|t s ɐ|ɾ ɛ|l ɐ	Italian loanword
risotto	*	foreign	-1	ʁ i|z ɔ|t u	Italian loanword
gnocchi	*	foreign	-1	ɲ ɔ|k i	Italian loanword
# ===== h黙字 (silent) =====
# --- 語頭 h が発音されない ---
hora	*	silent	0	ɔ|ɾ ɐ	h mudo
homem	*	silent	0	ɔ|m ɐ̃ j̃	h mudo + nasal
hoje	*	silent	0	o|ʒ ɨ	h mudo
haver	*	silent	1	ɐ|v e ɾ	h mudo
hotel	*	silent	1	o|t ɛ l	h mudo
hospital	*	silent	2	ɔ s|p i|t a l	h mudo
humano	*	silent	1	u|m ɐ̃|n u	h mudo
humilde	*	silent	1	u|m i l|d ɨ	h mudo
herói	*	silent	1	ɨ|ɾ ɔ j	h mudo
herança	*	silent	1	ɨ|ɾ ɐ̃|s ɐ	h mudo
histeria	*	silent	2	i s|t ɨ|ɾ i|ɐ	h mudo
hiato	*	silent	1	i|a|t u	h mudo
hino	*	silent	0	i|n u	h mudo
honra	*	silent	0	õ|ʁ ɐ	h mudo + nasal
honesto	*	silent	1	o|n ɛ s|t u	h mudo
horizonte	*	silent	2	o|ɾ i|z õ|t ɨ	h mudo
hóspede	*	silent	0	ɔ s|p ɨ|d ɨ	h mudo
hábito	*	silent	0	a|b i|t u	h mudo
hipótese	*	silent	1	i|p ɔ|t ɨ|z ɨ	h mudo
húmido	*	silent	0	u|m i|d u	h mudo
habitante	*	silent	2	ɐ|b i|t ɐ̃|t ɨ	h mudo
habitual	*	silent	2	ɐ|b i|t w a l	h mudo
harmonia	*	silent	2	ɐ ɾ|m u|n i|ɐ	h mudo
herbívoro	*	silent	1	ɛ ɾ|b i|v u|ɾ u	h mudo
hiperativo	*	silent	3	i|p ɨ|ɾ ɐ|t i|v u	h mudo
# ===== その他不規則 (misc) =====
dez	*	misc	-1	d ɛ s	例外的に開母音
três	*	misc	-1	t ɾ e s	number
seis	*	misc	-1	s e j s	number
avó	*	misc	1	a|v ɔ	祖母, /ɔ/ aberto (acento indica)
avô	*	misc	1	a|v o	祖父, /o/ fechado (circumflexo)
café	*	misc	1	k ɐ|f ɛ	/ɛ/ indicated by acento
até	*	misc	1	a|t ɛ	/ɛ/ indicated by acento
através	*	misc	2	ɐ|t ɾ ɐ|v ɛ s	/ɛ/ indicated by acento
pé	*	misc	-1	p ɛ	/ɛ/ monosyllable
só	*	misc	-1	s ɔ	/ɔ/ monosyllable
nó	*	misc	-1	n ɔ	/ɔ/ monosyllable
pó	*	misc	-1	p ɔ	/ɔ/ monosyllable
cipó	*	misc	1	s i|p ɔ	/ɔ/ indicated by acento
após	*	misc	1	a|p ɔ s	/ɔ/ indicated by acento
propósito	*	misc	1	p ɾ u|p ɔ|z i|t u	/ɔ/ aberto
depósito	*	misc	1	d ɨ|p ɔ|z i|t u	/ɔ/ aberto
índice	*	misc	0	ĩ|d i|s ɨ	proparoxítona
príncipe	*	misc	0	p ɾ ĩ|s i|p ɨ	proparoxítona
ônibus	*	misc	0	o|n i|b u s	proparoxítona
árvore	*	misc	0	a ɾ|v u|ɾ ɨ	proparoxítona
técnica	*	misc	0	t ɛ|k n i|k ɐ	proparoxítona
música	*	misc	0	m u|z i|k ɐ	proparoxítona
fábrica	*	misc	0	f a|b ɾ i|k ɐ	proparoxítona
público	*	misc	0	p u|b l i|k u	proparoxítona
módulo	*	misc	0	m ɔ|d u|l u	proparoxítona
cálculo	*	misc	0	k a l|k u|l u	proparoxítona
# ===== 追加の開閉母音不規則 =====
sogro	*	open_close_vowel	0	s o|ɡ ɾ u	sogro, /o/ fechado
sogra	*	open_close_vowel	0	s ɔ|ɡ ɾ ɐ	sogra, /ɔ/ aberto
forca	*	open_close_vowel	0	f ɔ ɾ|s ɐ	forca (gallows), /ɔ/ aberto
hora	*	open_close_vowel	0	ɔ|ɾ ɐ	hora, /ɔ/ aberto
folha	*	open_close_vowel	0	f ɔ|ʎ ɐ	folha, /ɔ/ aberto
bolha	*	open_close_vowel	0	b ɔ|ʎ ɐ	bolha, /ɔ/ aberto
molho	*	open_close_vowel	0	m ɔ|ʎ u	molho (sauce), /ɔ/ aberto
olho	*	open_close_vowel	0	ɔ|ʎ u	olho (sing), /ɔ/ aberto
osso	*	open_close_vowel	0	ɔ|s u	osso (sing), /ɔ/ aberto
orca	*	open_close_vowel	0	ɔ ɾ|k ɐ	orca, /ɔ/ aberto
colher	*	open_close_vowel	1	k u|ʎ ɛ ɾ	colher, /ɛ/ aberto
mulher	*	open_close_vowel	1	m u|ʎ ɛ ɾ	mulher, /ɛ/ aberto
prazer	*	open_close_vowel	1	p ɾ ɐ|z e ɾ	prazer, /e/ fechado
poder	*	open_close_vowel	1	p u|d e ɾ	poder (infinitive), /e/ fechado
comer	*	open_close_vowel	1	k u|m e ɾ	comer, /e/ fechado
beber	*	open_close_vowel	1	b ɨ|b e ɾ	beber, /e/ fechado
correr	*	open_close_vowel	1	k u|ʁ e ɾ	correr, /e/ fechado
# ===== 追加のmetaphony =====
fogos	*	metaphony	0	f ɔ|ɡ u s	fogo pl, /ɔ/ metaphony
trocos	*	metaphony	0	t ɾ ɔ|k u s	troco pl, /ɔ/ metaphony
rolos	*	metaphony	0	ʁ ɔ|l u s	rolo pl, /ɔ/ metaphony
pocos	*	metaphony	0	p ɔ|s u s	poco pl, /ɔ/ metaphony
belas	*	metaphony	0	b ɛ|l ɐ s	bela pl, /ɛ/ metaphony
netas	*	metaphony	0	n ɛ|t ɐ s	neta pl, /ɛ/ metaphony
secas	*	metaphony	0	s ɛ|k ɐ s	seca pl, /ɛ/ metaphony
# ===== 追加のx不規則 =====
oxigênio	*	x_irregular	1	o|s i|ʒ ɛ|n j u	oxigenio, x=/s/
hexágono	*	x_irregular	1	e|z a|ɡ u|n u	hexagono, x=/z/
exército	*	x_irregular	1	e|z ɛ ɾ|s i|t u	exercito, x=/z/
elixir	*	x_irregular	1	e|l i|s i ɾ	elixir, x=/s/
exímio	*	x_irregular	1	e|z i|m j u	eximio, x=/z/
êxodo	*	x_irregular	0	e|z u|d u	exodo, x=/z/
exótico	*	x_irregular	1	e|z ɔ|t i|k u	exotico, x=/z/
# ===== 追加の不規則動詞 =====
# --- ouvir ---
ouço	*	verb_irregular	-1	o w|s u	ouvir 1sg pres
ouve	*	verb_irregular	-1	o w|v ɨ	ouvir 3sg pres
# --- pedir ---
peço	*	verb_irregular	-1	p ɛ|s u	pedir 1sg pres
pede	*	verb_irregular	-1	p ɛ|d ɨ	pedir 3sg pres
# --- dormir ---
durmo	*	verb_irregular	-1	d u ɾ|m u	dormir 1sg pres
dorme	*	verb_irregular	-1	d ɔ ɾ|m ɨ	dormir 3sg pres
# --- caber ---
caibo	*	verb_irregular	-1	k a j|b u	caber 1sg pres
coube	*	verb_irregular	-1	k o w|b ɨ	caber pret 3sg
# --- perder ---
perco	*	verb_irregular	-1	p ɛ ɾ|k u	perder 1sg pres
perde	*	verb_irregular	-1	p ɛ ɾ|d ɨ	perder 3sg pres
# --- medir ---
meço	*	verb_irregular	-1	m ɛ|s u	medir 1sg pres
mede	*	verb_irregular	-1	m ɛ|d ɨ	medir 3sg pres
# ===== 追加の鼻母音不規則 =====
irmã	*	nasal_irregular	1	i ɾ|m ɐ̃	nasal /ɐ̃/
lã	*	nasal_irregular	-1	l ɐ̃	nasal /ɐ̃/
romã	*	nasal_irregular	1	ʁ u|m ɐ̃	nasal /ɐ̃/
manhã	*	nasal_irregular	1	m ɐ|ɲ ɐ̃	nasal /ɐ̃/
irmãos	*	nasal_irregular	1	i ɾ|m ɐ̃ w̃ s	nasal plural
cidadãos	*	nasal_irregular	2	s i|d ɐ|d ɐ̃ w̃ s	nasal plural
ações	*	nasal_irregular	1	ɐ|s õ j s	acao pl
nações	*	nasal_irregular	1	n ɐ|s õ j s	nacao pl
lições	*	nasal_irregular	1	l i|s õ j s	licao pl
opiniões	*	nasal_irregular	2	o|p i|n j õ j s	opiniao pl
estações	*	nasal_irregular	2	ɨ s|t ɐ|s õ j s	estacao pl
posições	*	nasal_irregular	2	p u|z i|s õ j s	posicao pl
# ===== 追加のBP/EP方言固有 =====
# --- BP palatalization ---
dente	brazilian	open_close_vowel	0	d ẽ|t͡ʃ i	BP palatalization
gente	brazilian	open_close_vowel	0	ʒ ẽ|t͡ʃ i	BP palatalization
forte	brazilian	open_close_vowel	0	f ɔ ɾ|t͡ʃ i	BP palatalization
norte	brazilian	open_close_vowel	0	n ɔ ɾ|t͡ʃ i	BP palatalization
noite	brazilian	open_close_vowel	0	n o j|t͡ʃ i	BP palatalization
leite	brazilian	open_close_vowel	0	l e j|t͡ʃ i	BP palatalization
cidade	brazilian	open_close_vowel	1	s i|d a|d͡ʒ i	BP palatalization
verdade	brazilian	open_close_vowel	1	v ɨ ɾ|d a|d͡ʒ i	BP palatalization
# --- EP vowel reduction additional ---
momento	european	open_close_vowel	1	m u|m ẽ|t u	EP vowel reduction
professor	european	open_close_vowel	2	p ɾ u|f ɨ|s o ɾ	EP vowel reduction
possível	european	open_close_vowel	1	p u|s i|v ɛ l	EP vowel reduction
problema	european	open_close_vowel	1	p ɾ u|b l e|m ɐ	EP vowel reduction
